index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
2358,2018-09-04,Banane,0.0,1.0,0.0,0,0,9,,,False
2359,2018-09-17,Melon,0.0,1.0,0.0,0,0,9,melon,fruit,True
2361,2018-09-18,Petits panés de volaille*,0.0,0.0,1.0,0,0,9,ail,legume,True
2362,2018-09-20,Radis bio,0.0,0.0,1.0,1,0,9,radis,legume,True
2365,2018-09-21,Purée de légumes verts,0.0,0.0,1.0,0,0,9,,,False
2366,2018-09-25,Salade verte,0.0,0.0,1.0,0,0,9,salade verte,legume,True
2367,2018-09-28,Ratatouille,0.0,0.0,1.0,0,1,9,,,False
2368,2018-10-01,Salade coleslaw,0.0,0.0,1.0,0,0,10,,,False
2369,2018-10-01,Boulettes de boeuf sauce tomate,0.0,0.2,0.2,0,1,10,tomate,fruit,True
2370,2018-10-02,Pâtes,0.5,0.0,0.0,0,0,10,,,False
2371,2018-10-11,"Poêlée de légumes (carottes, haricots verts, pdt, brocolis)",0.5,0.0,0.5,0,0,10,carotte,legume,True
2373,2018-10-15,Demi-pamplemousse,0.0,1.0,0.0,0,0,10,pamplemousse,fruit,False
2374,2018-10-18,Boeuf* sauce aux champignons,0.0,0.0,0.25,0,1,10,,,False
2375,2018-10-19,Salade verte,0.0,0.0,1.0,0,0,10,salade verte,legume,True
2376,2018-10-23,Salade coleslaw,0.0,0.0,1.0,0,0,10,,,False
2377,2018-10-24,Yaourt aux fruits mixés,0.0,0.5,0.0,0,0,10,,,False
2378,2018-10-26,Banane,0.0,1.0,0.0,0,0,10,,,False
2380,2018-11-05,Salade coleslaw,0.0,0.0,1.0,0,0,11,,,False
2382,2018-11-06,Demi-pamplemousse,0.0,1.0,0.0,0,0,11,pamplemousse,fruit,False
2384,2018-11-09,Carottes râpées bio°,0.0,0.0,0.5,1,0,11,carotte,legume,True
2385,2018-11-09,Tarte grillée aux abricots,0.0,1.0,0.0,0,0,11,abricot,fruit,False
2387,2018-11-20,Salade de mâche au surimi,0.0,0.0,0.5,0,1,11,mâche,legume,True
2388,2018-11-21,Burger vegetal aux lentilles corail,0.5,0.0,0.5,0,0,11,ail,legume,True
2389,2018-11-22,Haricots verts,0.5,0.0,0.5,0,0,11,haricots verts,legume,False
2390,2018-11-22,Compote,0.0,1.0,0.0,0,1,11,,,False
2391,2018-11-23,Choux blancs bio° à la mimolette,0.0,0.0,0.5,1,0,11,chou,legume,True
2392,2018-11-23,Clémentines,0.0,1.0,0.0,0,0,11,clementine,fruit,False
2393,2018-11-26,Potage au potiron,0.0,0.0,1.0,0,0,11,potiron,legume,True
2394,2018-11-26,Lasagnes végétales,0.5,0.0,0.5,0,0,11,,,False
2396,2018-12-03,Pizza,0.5,0.0,0.5,0,0,12,,,False
2397,2018-12-03,Ananas,0.0,1.0,0.0,0,0,12,,,False
2398,2018-12-04,Hachis Parmentier*,0.5,0.0,0.0,0,1,12,,,False
2401,2018-12-07,Salade de pâtes Napoli,0.3333333333333333,0.0,0.3333333333333333,0,1,12,,,False
2402,2018-12-07,Ratatouille,0.0,0.0,1.0,0,1,12,,,False
2403,2018-12-10,Salade coleslaw,0.0,0.0,1.0,0,0,12,,,False
2404,2018-12-11,Frites,1.0,0.0,0.0,0,1,12,,,False
